Institute,Tissue Type,In-vitro Cell lines,xenograft models ,PDX models,GEMMs,Syngenic tumour models
Belfast,Head & Neck,Yes,,,,
ICR,Head & Neck,Yes,Yes,Yes,,Yes
Liverpool,Head & Neck,Yes,,,,
Manchester ,Head & Neck,Yes,Yes,,,
Nottingham,Head & Neck,Yes,,,,
Oxford,Head & Neck,Yes,Yes,,,
Sheffield,Head & Neck,Yes,Yes,,,
University College London,Head & Neck,Yes,Yes,,,
