Institute,Tissue Type,In-vitro Cell lines,xenograft models ,PDX models,GEMMs,Syngenic tumour models
Belfast,Brain,,,,,
Cambridge,Brain,Yes,Yes,Yes,Yes,
Cardiff,Brain,,Yes,,Yes,
Glasgow,Brain,Yes,Yes,,,
Glasgow,Brain,,,,,
Hull,Brain,Yes,Yes,,,
Leeds,Brain,,,,,
Liverpool,Brain,Yes,,,,
Manchester ,Brain,Yes,Yes,,,Yes
Manchester ,Brain,,,,,
Nottingham,Brain,Yes,Yes,Yes,,
Nottingham,Brain,,,,,
Oxford,Brain,Yes,Yes,Yes,,Yes
