Institute,Tissue Type,In-vitro Cell lines,xenograft models ,PDX models,GEMMs,Syngenic tumour models
Belfast,Prostate,Yes,Yes,Yes,Yes,Yes
Cambridge,Prostate,,Yes,,,
Cardiff,Prostate,Yes,,,,
Dublin,Prostate,Yes,,,,
Glasgow,Prostate,Yes,Yes,,,
King's College London ,Prostate,Yes,Yes,,,
Leicester,Prostate,Yes,,,,
Manchester ,Prostate,Yes,Yes,,,
Newcastle,Prostate,Yes,Yes,Yes,Yes,
Oxford  ,Prostate,Yes,,,,
Sheffield,Prostate,Yes,Yes,,,
