Institute,Tissue Type,In-vitro Cell lines,xenograft models ,PDX models,GEMMs,Syngenic tumour models
Glasgow,GBM,Yes,Yes,Yes,,
Glasgow,GBM,,,,,
Manchester ,GBM,Yes,Yes,Yes,,Yes
Nottingham,GBM,Yes,,,,
