Institute,Tissue Type,In-vitro Cell lines,xenograft models ,PDX models,GEMMs,Syngenic tumour models
Belfast,Bladder,Yes,Yes,,,
Belfast,Bladder,,,,,
Glasgow,Bladder,Yes,,,,
Leicester,Bladder,Yes,,,,
Manchester ,Bladder,Yes,Yes,,,
Nottingham,Bladder,,Yes,,,Yes
Oxford,Bladder,Yes,Yes,,Yes,
