Institute,Tissue Type,In-vitro Cell lines,xenograft models ,PDX models,GEMMs,Syngenic tumour models
Belfast,Lung,Yes,Yes,,,Yes
Belfast,Lung,,,,,
Cardiff,Lung,Yes,,,Yes,
Glasgow,Lung,Yes,Yes,,Yes,
Hull,Lung,Yes,Yes,,,
King's College London ,Lung,Yes,,,,
Leicester,Lung,Yes,,,,
Manchester ,Lung,Yes,Yes,,,Yes
Nottingham,Lung,Yes,Yes,,,Yes
Nottingham,Lung,,,,,
Oxford,Lung,Yes,Yes,,,Yes
Oxford  ,Lung,,,,,
University College London,Lung,Yes,Yes,,,
